1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
1731	-0.834191	110.216019	0.005014	29.8
1732	-0.850267	110.179937	0.007731	29.4
1733	-0.929734	110.143888	0.006866	29.1
1734	-0.502512	110.107869	0.007598	28.8
1735	-0.875838	110.071882	0.006390	32.1
1736	-0.794741	110.035927	0.007443	29.0
1737	-0.534773	110.000003	0.005997	30.1
1738	-0.637579	109.964110	0.005950	28.1
1739	-0.529787	109.928248	0.005826	29.3
1740	-0.847033	109.892417	0.007918	30.1
1741	-0.867581	109.856618	0.005209	32.1
1742	-0.901085	109.820850	0.006865	29.1
1743	-0.573046	109.785112	0.006503	29.7
1744	-0.864174	109.749406	0.006945	29.1
1745	-0.709395	109.713730	0.006029	29.8
1746	0.000000	109.678086	0.000000	31.3
1747	-0.776501	109.642472	0.007143	33.2
1748	-0.905012	109.606890	0.007132	31.4
1749	-0.938387	109.571337	0.010510	31.9
1750	-0.978719	109.535816	0.007244	31.6
1751	-0.904613	109.500326	0.009475	31.6
1752	-0.572520	109.464866	0.005591	29.5
1753	-0.822676	109.429436	0.006275	30.4
1754	-0.464668	109.394038	0.006259	31.3
1755	-0.519342	109.358669	0.005458	31.9
1756	-0.836339	109.323331	0.004747	29.6
1757	-0.113252	109.288024	0.002591	28.4
1758	-0.792846	109.252747	0.005902	29.1
1759	0.000000	109.217501	0.000000	28.8
1760	-0.845114	109.182284	0.006806	31.3
1761	-0.603583	109.147098	0.005060	29.0
1762	-0.566413	109.111942	0.006978	29.0
1763	-0.899560	109.076817	0.005758	28.8
1764	0.000000	109.041721	0.000000	30.3
1765	-0.647520	109.006656	0.008398	30.5
1766	-0.874196	108.971620	0.007349	30.7
1767	0.000000	108.936615	0.000000	30.0
1768	-0.291110	108.901640	0.006823	29.0
1769	-0.570442	108.866694	0.007212	28.9
1770	-0.033232	108.831779	0.001983	29.9
1771	-0.626388	108.796893	0.006655	30.3
1772	-0.862743	108.762037	0.006660	32.2
1773	-0.530316	108.727211	0.004306	28.1
1774	-0.913612	108.692415	0.009147	29.9
1775	0.000000	108.657648	0.000000	28.7
1776	-0.717967	108.622911	0.006231	30.8
1777	-0.954768	108.588203	0.007491	29.9
1778	-0.147823	108.553525	0.009879	29.4
1779	-0.580106	108.518877	0.006706	29.1
1780	-0.486635	108.484258	0.004428	29.5
1781	-0.763223	108.449668	0.005880	30.9
1782	-0.745043	108.415108	0.006543	30.4
1783	-0.689030	108.380578	0.005532	29.0
1784	-0.828240	108.346076	0.006258	29.2
1785	-0.067869	108.311604	0.001881	29.3
1786	-0.458064	108.277161	0.004642	30.9
1787	-0.807420	108.242747	0.007287	30.8
1788	0.000000	108.208363	0.000000	27.9
1789	-0.590711	108.174007	0.006867	28.7
1790	0.000000	108.139681	0.000000	30.3
1791	-0.709352	108.105383	0.006316	30.5
1792	0.000000	108.071115	0.000000	32.4
1793	-0.893746	108.036875	0.008259	31.1
1794	-0.636535	108.002665	0.005394	28.0
1795	-0.815740	107.968483	0.006154	28.8
1796	-0.337649	107.934330	0.003731	30.1
1797	-0.287979	107.900206	0.003361	30.6
1798	-0.948089	107.866111	0.007901	30.3
1799	-0.774288	107.832044	0.004854	28.7
1800	-0.823325	107.798007	0.007222	28.7
1801	-0.084167	107.763997	0.002259	31.0
1802	-0.593487	107.730017	0.006766	29.4
1803	-0.588608	107.696065	0.008930	31.1
1804	-0.000000	107.662141	0.000000	27.9
1805	-0.791871	107.628246	0.006690	28.9
1806	-0.320045	107.594379	0.004601	30.2
1807	-0.885086	107.560541	0.007208	30.2
1808	-0.563669	107.526731	0.006513	30.5
1809	0.000000	107.492949	0.000000	28.7
1810	-0.703623	107.459196	0.006945	28.7
1811	-0.159155	107.425471	0.002299	30.9
1812	0.000000	107.391774	0.000000	29.1
1813	-0.301903	107.358106	0.005655	31.0
1814	-0.661577	107.324465	0.006250	28.0
1815	-0.643933	107.290853	0.004950	29.4
1816	-0.563290	107.257268	0.005384	30.9
1817	-0.844808	107.223712	0.005291	29.8
1818	-0.416266	107.190184	0.005555	30.9
1819	-0.765748	107.156683	0.006994	28.3
1820	-0.610151	107.123211	0.005898	28.7
1821	-0.736234	107.089766	0.007645	29.8
1822	-0.847495	107.056349	0.004967	30.9
1823	-0.820107	107.022960	0.006460	30.7
1824	-0.658907	106.989599	0.005158	29.0
1825	-0.825344	106.956265	0.006944	29.7
1826	-0.424621	106.922960	0.004817	29.6
1827	-0.636776	106.889681	0.005278	30.0
1828	-0.084279	106.856431	0.003721	30.3
1829	-0.793642	106.823208	0.005931	28.9
1830	-0.738535	106.790012	0.008357	28.9
1831	-0.697700	106.756844	0.006271	29.2
1832	-0.602115	106.723703	0.006554	30.1
1833	-0.737541	106.690590	0.006516	32.0
1834	-0.918096	106.657505	0.006923	28.8
1835	-0.309817	106.624446	0.005312	29.6
1836	-0.861009	106.591415	0.004541	28.8
1837	-0.679838	106.558411	0.006361	30.5
1838	0.000000	106.525435	0.000000	30.6
1839	0.000000	106.492485	0.000000	30.7
1840	-0.565408	106.459563	0.006064	28.6
1841	-0.800001	106.426668	0.007762	28.8
1842	-0.636214	106.393800	0.007603	30.4
1843	-0.641954	106.360959	0.009063	35.0
1844	-0.831600	106.328145	0.006845	29.4
1845	-0.758907	106.295358	0.006107	31.7
1846	-0.928890	106.262598	0.006203	29.1
1847	-0.563655	106.229865	0.006395	28.9
1848	-0.590815	106.197158	0.006620	30.4
1849	-0.886117	106.164479	0.006193	30.7
1850	-0.947083	106.131826	0.007497	31.4
1851	-0.911329	106.099201	0.009153	29.3
1852	-0.520488	106.066602	0.006639	29.6
1853	-0.629521	106.034029	0.005623	28.4
1854	-0.674275	106.001483	0.006667	29.0
1855	-0.822597	105.968964	0.008736	31.0
1856	-0.196707	105.936472	0.003019	30.2
1857	0.000000	105.904006	0.000000	28.2
1858	-0.493610	105.871566	0.006422	29.6
1859	-0.534869	105.839153	0.005213	28.8
1860	-0.820961	105.806767	0.006702	30.3
1861	0.000000	105.774407	0.000000	30.4
1862	-0.547944	105.742073	0.006539	29.2
1863	0.000000	105.709766	0.000000	29.6
1864	-0.799827	105.677485	0.006812	28.4
1865	-1.039157	105.645230	0.009532	30.8
1866	-0.950114	105.613001	0.009038	31.1
1867	-0.959070	105.580799	0.007455	28.8
1868	-0.349160	105.548623	0.003292	29.3
1869	0.000000	105.516473	0.000000	28.9
1870	-0.373953	105.484349	0.005660	30.3
1871	-0.369955	105.452251	0.004722	30.8
