1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
484	-0.690144	91.168430	2.151757	0.016606	3.3
485	-0.689848	92.168430	2.132743	0.020783	3.3
486	-0.692991	93.168430	2.114062	0.014474	3.4
487	-0.670767	93.440992	2.109027	0.025315	3.3
488	-0.652999	94.440992	2.090758	0.021200	3.3
489	-0.745169	95.440992	2.072803	0.020160	3.3
490	-0.679705	96.440584	2.055160	0.018544	3.3
491	-0.699616	97.422694	2.038116	0.017502	3.3
492	-0.671222	96.648133	2.051534	0.015225	3.4
493	-0.680877	97.648133	2.034243	0.028379	3.3
494	-0.674365	98.609693	2.017890	0.021269	3.4
495	-0.718509	97.835133	2.031042	0.017419	3.2
496	-0.691978	98.817452	2.014391	0.010476	3.2
497	-0.669272	99.813110	1.997790	0.014459	3.4
498	-0.679131	100.369982	1.988623	0.014745	3.2
499	-0.695172	101.369982	1.972372	0.023271	3.3
